"","AC","AR","CT","DHA","DR","EFA","FR","HF","LAR"
"FR.1",0,0,0,0,0,0,1,0,0
"FR.2",0,0,0,0,0,0,1,0,0
"FR.3",0,0,0,0,0,0,1,0,0
"AC.2",1,0,0,0,0,0,0,0,0
"AC.3",1,0,0,0,0,0,0,0,0
"CT.1",0,0,1,0,0,0,0,0,0
"CT.2",0,0,1,0,0,0,0,0,0
"CT.3",0,0,1,0,0,0,0,0,0
"AR.1",0,1,0,0,0,0,0,0,0
"AR.2",0,1,0,0,0,0,0,0,0
"AR.3",0,1,0,0,0,0,0,0,0
"LAR.1",0,0,0,0,0,0,0,0,1
"LAR.2",0,0,0,0,0,0,0,0,1
"LAR.3",0,0,0,0,0,0,0,0,1
"DHA.1",0,0,0,1,0,0,0,0,0
"DHA.2",0,0,0,1,0,0,0,0,0
"DHA.3",0,0,0,1,0,0,0,0,0
"DR.1",0,0,0,0,1,0,0,0,0
"DR.2",0,0,0,0,1,0,0,0,0
"DR.3",0,0,0,0,1,0,0,0,0
"EFA.1",0,0,0,0,0,1,0,0,0
"EFA.2",0,0,0,0,0,1,0,0,0
"EFA.3",0,0,0,0,0,1,0,0,0
"HF.1",0,0,0,0,0,0,0,1,0
"HF.2",0,0,0,0,0,0,0,1,0
"HF.3",0,0,0,0,0,0,0,1,0
