"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"236","1417867_at","Cfd","11537","complement factor D (adipsin)",5.57079875780565,4.93919524022389,13.5787218511523,1.68768047894332e-12,2.59649641685429e-09,18.3593494337156
"702","1423804_a_at","Idi1","319554","isopentenyl-diphosphate delta isomerase",-4.15236095771363,8.97412715853914,-13.8732570776426,1.08290479067893e-12,2.59649641685429e-09,18.7614170368488
"598","1422533_at","Cyp51","13121","cytochrome P450, family 51",-3.21909156577403,7.93050065950745,-12.7783072424036,5.86139210079067e-12,6.0118344980443e-09,17.2215105937325
"24","1415993_at","Sqle","20775","squalene epoxidase",-4.83051659147803,8.4771699738213,-12.3248189380168,1.2188963157642e-11,9.37635990901613e-09,16.5461548610507
"640","1423078_a_at","Msmo1","66234","methylsterol monoxygenase 1",-2.581030278919,9.9152830632283,-11.7267406218907,3.30322472301944e-11,2.03280449454616e-08,15.6196546678012
"1009","1427229_at","Hmgcr","15357","3-hydroxy-3-methylglutaryl-Coenzyme A reductase",-2.85599059199536,7.27232094007726,-10.0240450112018,6.98186242243176e-10,3.58053177897042e-07,12.7412383891263
"2234","1448130_at","Fdft1","14137","farnesyl diphosphate farnesyl transferase 1",-2.13596987755225,9.09994293249707,-9.3647729019634,2.49426336202306e-09,1.09640690927785e-06,11.523788480948
"675","1423418_at","Fdps","110196","farnesyl diphosphate synthetase",-2.5646899173852,10.08964861857,-8.27357891405674,2.31867717880044e-08,7.92729964352106e-06,9.3739323868854
"826","1425028_a_at","Tpm2","22004","tropomyosin 2, beta",2.26410386018955,6.17922114082511,8.3005274378564,2.19032090640503e-08,7.92729964352106e-06,9.42908889565813
"26","1416022_at","Fabp5","16592","fatty acid binding protein 5, epidermal",-4.47698561478377,8.60190519340925,-7.9586847421006,4.54314675112993e-08,1.20219503418579e-05,8.72164602594873
"49","1416222_at","Nsdhl","18194","NAD(P) dependent steroid dehydrogenase-like",-1.89967534643269,9.20877307833097,-8.00743638107555,4.0903032600103e-08,1.20219503418579e-05,8.82356952602806
"1051","1427893_a_at","Pmvk","68603","phosphomevalonate kinase",-1.91185979345032,8.38844902545721,-7.94409694774143,4.68844342223901e-08,1.20219503418579e-05,8.69108116441752
"2708","1454067_a_at","4931406C07Rik","70984","RIKEN cDNA 4931406C07 gene",1.58910348602783,9.7221492218414,7.653788374039,8.82422429562362e-08,2.08862601212568e-05,8.07645418855355
"2748","1454838_s_at","Pkdcc","106522","protein kinase domain containing, cytoplasmic",-1.43997910132695,7.21637927979433,-7.41561415202531,1.49500139489462e-07,3.28579949435053e-05,7.56322087179537
"3","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",1.80147370734996,9.67228921720794,7.17081737445184,2.59038014218146e-07,5.31373313166158e-05,7.02740755493364
"1764","1437453_s_at","Pcsk9","100102","proprotein convertase subtilisin/kexin type 9",-2.01336924183728,6.83787928992381,-6.98393202347348,3.96183088734315e-07,7.6190960252218e-05,6.61279101561858
"2287","1448619_at","Dhcr7","13360","7-dehydrocholesterol reductase",-1.98213587351145,9.64328100235793,-6.89331495466647,4.8761230872325e-07,8.82578278789083e-05,6.41005252874386
"2506","1451461_a_at","Aldoc","11676","aldolase C, fructose-bisphosphate",-1.60359463471935,7.85191660786793,-6.83934619309186,5.52074920401796e-07,9.43741405597959e-05,6.28878842124532
"588","1422438_at","Ephx1","13849","epoxide hydrolase 1, microsomal",1.37142892026103,11.0527412417696,6.73313667991354,7.05641136411998e-07,0.000114276725091564,6.04902567137493
"2539","1451799_at","Ccdc25","67179","coiled-coil domain containing 25",-2.2740403898946,4.7929434312364,-6.63600150962457,8.84296734848348e-07,0.000136049052656418,5.82847000388203
"2292","1448663_s_at","Mvd","192156","mevalonate (diphospho) decarboxylase",-2.14136048304281,6.81177787581223,-6.60222036556028,9.56760507058186e-07,0.000140188194296097,5.75148454870255
"2260","1448382_at","Ehhadh","74147","enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase",1.40411233285119,10.94934855883,6.51572304399957,1.17128279793694e-06,0.000163819871329635,5.55370883112105
"1259","1430401_at","3110045C21Rik","67303","RIKEN cDNA 3110045C21 gene",-1.49046400379111,5.52840684362998,-6.37065534428898,1.64773613909048e-06,0.000220438439129627,5.21994747882359
"151","1417126_a_at","Rpl22l1","68028","ribosomal protein L22 like 1",-1.21851400273456,10.6039832027857,-6.22013446166398,2.35404835553713e-06,0.00030180861624949,4.87099611152308
"292","1418320_at","Prss8","76560","protease, serine 8 (prostasin)",-2.06328098416109,5.23651059974052,-6.15980931870324,2.71782163189722e-06,0.00033450948645391,4.73041578074104
"928","1426452_a_at","Rab30","75985","RAB30, member RAS oncogene family",1.31271870360797,5.6407988015396,6.13295394583781,2.89773826130807e-06,0.000342936178078651,4.66770201370893
"398","1419393_at","Abcg5","27409","ATP binding cassette subfamily G member 5",1.54984483901175,9.42666811609514,6.10140130805359,3.12471669474728e-06,0.000356101972953237,4.59391766944101
"3033","1460118_at","Pde5a","242202","phosphodiesterase 5A, cGMP-specific",1.41665300881561,4.33667069769378,6.02931722884072,3.71372831853496e-06,0.000408112215576146,4.4249486080207
"1944","1439560_x_at","Smim22","432995","small integral membrane protein 22",-1.24828138652508,7.63225223418433,-5.91650901302071,4.87149745203056e-06,0.000516882677927519,4.15942593062725
"339","1418760_at","Rdh11","17252","retinol dehydrogenase 11",-1.90464732998954,8.71408474537258,-5.71552316079898,7.92547644126671e-06,0.000812889700325922,3.68324399004037
"323","1418604_at","Avpr1a","54140","arginine vasopressin receptor 1A",-1.49943684242823,6.76626764371426,-5.63565616850293,9.62684112291952e-06,0.00092568094172573,3.49299259508883
"1926","1439397_at","Fmn1","14260","formin 1",-1.59556493347679,5.34898540089279,-5.64660687548495,9.37321286829988e-06,0.00092568094172573,3.51911094875791
"545","1421410_a_at","Pstpip2","19201","proline-serine-threonine phosphatase-interacting protein 2",-1.58509187126604,6.86343701031797,-5.59495786832345,1.06320973030655e-05,0.000962204805927427,3.3958353891486
"591","1422474_at","Pde4b","18578","phosphodiesterase 4B, cAMP specific",-1.41167292060711,6.78318203656285,-5.60245729486987,1.0439162347483e-05,0.000962204805927427,3.41374878067207
"3072","1460684_at","Tm7sf2","73166","transmembrane 7 superfamily member 2",-1.16940075558909,10.4589206904945,-5.48501546162389,1.39142074515504e-05,0.00122325760938344,3.13270708849234
"592","1422479_at","Acss2","60525","acyl-CoA synthetase short-chain family member 2",-1.76855869934138,10.6355741597928,-5.4551282600266,1.49725948492298e-05,0.00127974095419667,3.06101696288801
"821","1424973_at","Cyp3a25","56388","cytochrome P450, family 3, subfamily a, polypeptide 25",0.992382683186559,12.2167982106643,5.44312621881764,1.54202584072788e-05,0.00128238203024856,3.03220937928547
"1893","1438992_x_at","Atf4","11911","activating transcription factor 4",-1.05187124736624,8.4438692908755,-5.41260807711474,1.66206346742534e-05,0.00134583402349152,2.95891259823681
"1226","1429642_at","Zfand4","67492","zinc finger, AN1-type domain 4",-1.25359176916212,8.1057073189876,-5.40173099576763,1.70709907801313e-05,0.00134685740078113,2.93277280834254
"1807","1437868_at","Tent5a","212943","terminal nucleotidyltransferase 5A",-1.52106022997121,7.02643003243009,-5.30750177115406,2.15283923939261e-05,0.00165607158490277,2.70598969730852
