"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2345","1449309_at","Cyp8b1","13124","cytochrome P450, family 8, subfamily b, polypeptide 1",-6.24555206225717,10.5590978299755,-23.5716604223206,1.16504330364037e-17,3.58483824530142e-14,29.4864506628589
"598","1422533_at","Cyp51","13121","cytochrome P450, family 51",-3.54106035126969,7.93050065950745,-15.7155046350997,7.92510110032188e-14,1.21927680428452e-10,21.5672577817947
"640","1423078_a_at","Msmo1","66234","methylsterol monoxygenase 1",-2.91347675449772,9.9152830632283,-14.7996274735677,2.81267613430909e-13,2.88486815508969e-10,20.3722573218583
"702","1423804_a_at","Idi1","319554","isopentenyl-diphosphate delta isomerase",-3.79130242727005,8.97412715853914,-14.1620711020642,7.05937006425916e-13,5.43042042193136e-10,19.4972139145702
"24","1415993_at","Sqle","20775","squalene epoxidase",-4.56017901868237,8.4771699738213,-13.0083995674242,4.07325868346706e-12,2.08890282817136e-09,17.8161862120608
"398","1419393_at","Abcg5","27409","ATP binding cassette subfamily G member 5",2.96793903365798,9.42666811609514,13.063253403734,3.73747628104481e-12,2.08890282817136e-09,17.8991106322585
"256","1418028_at","Dct","13190","dopachrome tautomerase",-3.45893071052764,7.50834084018683,-12.8015868801721,5.64820580196759e-12,2.48278989323633e-09,17.5007412669191
"675","1423418_at","Fdps","110196","farnesyl diphosphate synthetase",-3.52190314566157,10.08964861857,-12.7025514925281,6.61479402239783e-12,2.54421515086477e-09,17.3481023615201
"489","1420656_at","Abcg8","67470","ATP binding cassette subfamily G member 8",2.39664713525055,8.30977853863412,12.0327344179759,1.97440323113588e-11,6.75026526911677e-09,16.2880490428845
"49","1416222_at","Nsdhl","18194","NAD(P) dependent steroid dehydrogenase-like",-2.49453598732406,9.20877307833097,-11.7559814051053,3.143385118532e-11,9.67219600972295e-09,15.8355441669398
"588","1422438_at","Ephx1","13849","epoxide hydrolase 1, microsomal",1.86634450888331,11.0527412417696,10.2445042482662,4.61558278603997e-10,1.29110438478591e-07,13.2039553839551
"547","1421430_at","Rad51b","19363","RAD51 paralog B",3.06391980125955,4.14745980836685,10.0412891978084,6.75802703468734e-10,1.59957301428715e-07,12.8284093317532
"3072","1460684_at","Tm7sf2","73166","transmembrane 7 superfamily member 2",-1.92251188485487,10.4589206904945,-10.0818104004629,6.26077339905119e-10,1.59957301428715e-07,12.9037210275275
"67","1416368_at","Gsta4","14860","glutathione S-transferase, alpha 4",2.22706601750224,9.38627805531191,9.65734467216066,1.40814124716291e-09,3.09489329822877e-07,12.1041197263784
"741","1424278_a_at","Birc5","11799","baculoviral IAP repeat-containing 5",2.14696471537175,3.48665523433755,9.13364887333245,3.94842449198564e-09,7.71645373093445e-07,11.0844311467917
"2287","1448619_at","Dhcr7","13360","7-dehydrocholesterol reductase",-2.34699678074684,9.64328100235793,-9.12561622229866,4.01245562869519e-09,7.71645373093445e-07,11.0685009562059
"2234","1448130_at","Fdft1","14137","farnesyl diphosphate farnesyl transferase 1",-1.84517014736524,9.09994293249707,-9.04468721176671,4.72062983503442e-09,8.07656478594198e-07,10.9075114337212
"2649","1452954_at","Ube2c","68612","ubiquitin-conjugating enzyme E2C",1.70783972752801,3.88573519812061,9.0442621313566,4.72467228296899e-09,8.07656478594198e-07,10.9066634652183
"709","1423859_a_at","Ptgds","19215","prostaglandin D2 synthase (brain)",2.29026590386375,6.15773906323617,8.92465306342391,6.01695566773424e-09,9.74430136295698e-07,10.6670761498199
"478","1420515_a_at","Pglyrp2","57757","peptidoglycan recognition protein 2",-1.38334830788269,9.16106377756442,-8.81528377735942,7.51795837906999e-09,1.10155990154278e-06,10.4462757675331
"959","1426817_at","Mki67","17345","antigen identified by monoclonal antibody Ki 67",1.72917304399371,4.13796320678481,8.81582823033135,7.5095988491836e-09,1.10155990154278e-06,10.4473790261473
"821","1424973_at","Cyp3a25","56388","cytochrome P450, family 3, subfamily a, polypeptide 25",1.4194576826584,12.2167982106643,8.70455721064153,9.43442569595484e-09,1.26216208115013e-06,10.2210518187716
"1051","1427893_a_at","Pmvk","68603","phosphomevalonate kinase",-1.87531411889854,8.38844902545721,-8.7119931515408,9.29118215288733e-09,1.26216208115013e-06,10.2362300833043
"1008","1427202_at","Etfbkmt","320204","electron transfer flavoprotein beta subunit lysine methyltransferase",2.34541711193301,8.29068694265294,8.63971873048176,1.07841680470624e-08,1.38262021170045e-06,10.0883786164389
"592","1422479_at","Acss2","60525","acyl-CoA synthetase short-chain family member 2",-2.49523998424135,10.6355741597928,-8.60503844134775,1.15863321916206e-08,1.42604576614467e-06,10.0171761204199
"444","1419759_at","Abcb1a","18671","ATP-binding cassette, sub-family B (MDR/TAP), member 1A",1.48670917318122,4.76596066790846,8.57720418047039,1.22745098157959e-08,1.45264102704631e-06,9.9599085377573
"2770","1455025_at","Paqr9","75552","progestin and adipoQ receptor family member IX",-1.69000204376056,10.4076407623573,-8.53004485246719,1.35382150015958e-08,1.5428550948115e-06,9.86263505079931
"2292","1448663_s_at","Mvd","192156","mevalonate (diphospho) decarboxylase",-2.44382863936664,6.81177787581223,-8.42414800723299,1.68884533501504e-08,1.85592039137188e-06,9.64307999669401
"26","1416022_at","Fabp5","16592","fatty acid binding protein 5, epidermal",-4.21159750516087,8.60190519340925,-8.3706169625964,1.88963590695271e-08,2.00496885713569e-06,9.53150109465036
"848","1425314_at","Adgrv1","110789","adhesion G protein-coupled receptor V1",-2.01751177668043,6.31143565413709,-8.15462362157233,2.98480403164079e-08,3.06141400178624e-06,9.07723952415503
"1067","1428022_at","Obp2a","227627","odorant binding protein 2A",3.75921677894499,4.78191708524936,8.02761076500635,3.91674358610398e-08,3.88768387562643e-06,8.80708605117286
"228","1417821_at","D17H6S56E-5","110956","DNA segment, Chr 17, human D6S56E 5",1.76781222653974,4.16884480388534,7.81719172488414,6.17286865653955e-08,5.75573238065824e-06,8.35460574248023
"1034","1427474_s_at","Gstm3","14864","glutathione S-transferase, mu 3",2.21224915129922,9.61825200847677,7.82596621766158,6.0561605501499e-08,5.75573238065824e-06,8.37359657786121
"2254","1448330_at","Gstm1","14862","glutathione S-transferase, mu 1",1.53938046472949,11.7625105782565,7.77881761292302,6.71109243598259e-08,6.07353865456424e-06,8.27142698082177
"3077","1460732_a_at","Ppl","19041","periplakin",1.66245219661688,5.69696555075127,7.68714442968639,8.20109081994298e-08,7.20993041513273e-06,8.07189771087323
"957","1426808_at","Lgals3","16854","lectin, galactose binding, soluble 3",2.27512660217683,6.46143950298256,7.55842481744165,1.08883034246401e-07,9.30647489933825e-06,7.78979051941247
"1334","1432282_a_at","Tlcd2","380712","TLC domain containing 2",-1.35683976072162,10.3145273366381,-7.52170723622246,1.18099181765465e-07,9.82138330519823e-06,7.70890413108327
"1009","1427229_at","Hmgcr","15357","3-hydroxy-3-methylglutaryl-Coenzyme A reductase",-1.90664784130205,7.27232094007726,-7.4818970524093,1.29001099681247e-07,1.01778559927999e-05,7.62099786538145
"3004","1459141_at","1810008I18Rik","100503969","RIKEN cDNA 1810008I18 gene",-2.35936270514954,9.50732091512257,-7.48255643546648,1.28812357665026e-07,1.01778559927999e-05,7.62245562399991
"835","1425120_x_at","Ifi27l2b","217845","interferon, alpha-inducible protein 27 like 2B",1.53986688573951,6.43508603139624,7.45951307321032,1.35579642014657e-07,1.04294639619775e-05,7.57147659961409
"695","1423693_at","Cela1","109901","chymotrypsin-like elastase family, member 1",-1.66834716093397,9.17318086827929,-7.43888255205414,1.41947887517585e-07,1.06530158510148e-05,7.52577453690147
"339","1418760_at","Rdh11","17252","retinol dehydrogenase 11",-2.18618383478368,8.71408474537258,-7.33471261030575,1.79125380748585e-07,1.31230665848428e-05,7.29413391823996
"1125","1428670_at","2610305J24Rik","100034733","RIKEN cDNA 2610305J24 gene",2.29768492591286,4.3964676881934,7.24794569877765,2.1766107988064e-07,1.55754219254123e-05,7.10008155152933
"2334","1449164_at","Cd68","12514","CD68 antigen",1.97137844885263,5.36595856576165,7.19147706370986,2.47220644953245e-07,1.72885891936621e-05,6.97325261427923
"138","1417017_at","Cyp17a1","13074","cytochrome P450, family 17, subfamily a, polypeptide 1",-2.20018230016334,7.07481951741867,-7.11911606146542,2.91217406132814e-07,1.99127990815704e-05,6.81011384096045
"550","1421525_a_at","Naip5","17951","NLR family, apoptosis inhibitory protein 5",1.38915354404488,3.37785320079574,7.02466710663724,3.60999600899487e-07,2.32438395390068e-05,6.59614627691009
"901","1425964_x_at","Hspb1","15507","heat shock protein 1",1.60307047663889,8.39952342757582,7.02273370733132,3.62594831937708e-07,2.32438395390068e-05,6.59175418328992
"2017","1440899_at","Fmo5","14263","flavin containing monooxygenase 5",1.76302822902618,10.6406141436182,7.0360085443678,3.51785620956449e-07,2.32438395390068e-05,6.62190081516126
"151","1417126_a_at","Rpl22l1","68028","ribosomal protein L22 like 1",-1.218463225861,10.6039832027857,-6.9540319481859,4.24229627252208e-07,2.66398890419397e-05,6.43537167388015
"1643","1436293_x_at","Ildr2","100039795","immunoglobulin-like domain containing receptor 2",1.86991269271949,7.86046999009939,6.93906558163792,4.39024150403583e-07,2.70175462158365e-05,6.40122400003944
"2151","1444438_at","Cib3","234421","calcium and integrin binding family member 3",1.66475823552586,4.99623431451958,6.75275350984112,6.74297137667369e-07,4.06825939725979e-05,5.973753435719
"1765","1437457_a_at","Mtpn","14489","myotrophin",1.31573834954808,8.84558228289162,6.71543078527969,7.3521124801599e-07,4.35047117335616e-05,5.88759932826889
"1136","1428758_at","Tmem86a","67893","transmembrane protein 86A",1.51316901914683,7.37264700765411,6.69553107549498,7.69962499273307e-07,4.47014077408295e-05,5.84159363391305
"749","1424351_at","Wfdc2","67701","WAP four-disulfide core domain 2",1.4173324412617,7.13386193646688,6.63040413974627,8.95903961897968e-07,5.1049935014075e-05,5.69069007845912
"1627","1436174_at","Atad2","70472","ATPase family, AAA domain containing 2",1.31704274701792,4.55060939210609,6.59986154351752,9.62041796577718e-07,5.38218656012662e-05,5.61974388008737
"459","1420013_s_at","Lss","16987","lanosterol synthase",-1.76495471980808,8.15808980555214,-6.58320818265221,1.00018596984353e-06,5.49566469501523e-05,5.5810132476
"2193","1446769_at","Ttc39c","72747","tetratricopeptide repeat domain 39C",-1.51259367689291,7.89853642908922,-6.56850658476529,1.03514371830996e-06,5.58796003726271e-05,5.54679427222537
"404","1419430_at","Cyp26a1","13082","cytochrome P450, family 26, subfamily a, polypeptide 1",3.42328192743075,8.44354329136984,6.5398740705186,1.10685578145013e-06,5.87206075779666e-05,5.48007633710809
"165","1417266_at","Ccl6","20305","chemokine (C-C motif) ligand 6",1.86962668745693,6.56581454215478,6.53114455783146,1.12971455515051e-06,5.89174862067476e-05,5.4597159813596
"3037","1460196_at","Cbr1","12408","carbonyl reductase 1",0.972188183553563,9.56786518922337,6.51119400178567,1.18378522463139e-06,6.07084522698464e-05,5.41315039595947
"812","1424898_at","Slc10a1","20493","solute carrier family 10 (sodium/bile acid cotransporter family), member 1",-1.13774850658758,12.6687106148694,-6.48009066271427,1.27341232196807e-06,6.42342576179633e-05,5.34046052432289
"486","1420647_a_at","Krt8","16691","keratin 8",1.33485489463397,10.8707961583096,6.46473739229716,1.32018102098013e-06,6.44793174850134e-05,5.30453766012333
"2506","1451461_a_at","Aldoc","11676","aldolase C, fructose-bisphosphate",-1.35574568038736,7.85191660786793,-6.46477223738888,1.32007291344613e-06,6.44793174850134e-05,5.30461922004085
"2445","1450826_a_at","Saa3","20210","serum amyloid A 3",2.9697987709995,7.55344641803005,6.40627578040068,1.51492604245615e-06,7.28348036349619e-05,5.16750260814112
"774","1424607_a_at","Gm4354","100043316","predicted gene 4354",1.71742891093283,8.89965730238104,6.3886539710983,1.57920465782289e-06,7.47571189557083e-05,5.1261199746602
"106","1416795_at","Cryl1","68631","crystallin, lambda 1",1.25463979888249,6.9743750390617,6.36885934672143,1.65473912203746e-06,7.71459436137768e-05,5.07959271768489
"2852","1455820_x_at","Scarb1","20778","scavenger receptor class B, member 1",1.16041162574656,10.3513722718281,6.35917203465315,1.69303948884907e-06,7.77534702565463e-05,5.05680656010196
"769","1424588_at","Srgap3","259302","SLIT-ROBO Rho GTPase activating protein 3",-1.2758742940412,4.96063477878245,-6.34513063472311,1.75016762951072e-06,7.91950852353602e-05,5.02376012906038
"730","1424133_at","Tmem98","103743","transmembrane protein 98",1.03168422207476,7.00669676592066,6.32752833222281,1.82457327234714e-06,8.13653907103212e-05,4.98230191922155
"186","1417420_at","Ccnd1","12443","cyclin D1",1.65541626803114,6.87277569675944,6.27705707013616,2.05633238727947e-06,8.77153553916423e-05,4.86323760797318
"520","1421040_a_at","Gsta2","14858","glutathione S-transferase, alpha 2 (Yc2)",2.43759307716896,10.1051479490299,6.27203179977981,2.08099478179717e-06,8.77153553916423e-05,4.85136737391891
"1285","1430893_at","Mup10","100039008","major urinary protein 10",-1.99151259362966,9.35130622370147,-6.27208743670756,2.08072008814834e-06,8.77153553916423e-05,4.85149880951827
"3045","1460258_at","Cnmd","16840","chondromodulin",-1.60235954789381,6.31344486498616,-6.28158493387007,2.03436655839228e-06,8.77153553916423e-05,4.8739305430304
"2456","1450920_at","Ccnb2","12442","cyclin B2",1.77716376093261,3.69220949613579,6.24401736630589,2.22411887055787e-06,9.24812670906294e-05,4.78514373075203
"16","1415904_at","Lpl","16956","lipoprotein lipase",2.0604321475649,8.78642321034603,6.20213378255322,2.45707429838016e-06,9.94791791594177e-05,4.6859762645071
"701","1423797_at","Aacs","78894","acetoacetyl-CoA synthetase",-2.24470576467474,7.55084072146825,-6.20216081675285,2.4569161698861e-06,9.94791791594177e-05,4.68604033390044
"737","1424221_at","Susd4","96935","sushi domain containing 4",-1.41863491336842,7.67658959644825,-6.06953443351338,3.37237817811219e-06,0.000134763735766899,4.37080095976197
"2544","1451814_a_at","Htatip2","53415","HIV-1 Tat interactive protein 2",0.806651856638553,8.8040048680513,6.0541904051003,3.49867372552768e-06,0.000138018192992932,4.33421294661354
"2551","1451903_at","Kynu","70789","kynureninase",-1.00192628286053,5.68297921767374,-6.0364666019714,3.65057051088985e-06,0.000142187410911494,4.29192087632056
"417","1419510_at","Ces1e","13897","carboxylesterase 1E",-1.15471720577935,9.62821522922827,-6.01667219970771,3.82817335285593e-06,0.000143973380957195,4.24465096518604
"2312","1448916_at","Mafg","17134","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)",0.976862952178806,8.56548746458229,6.01573527733144,3.83679468264218e-06,0.000143973380957195,4.24241259006681
"2357","1449385_at","Hsd17b6","27400","hydroxysteroid (17-beta) dehydrogenase 6",2.77649620116628,9.21032427663208,6.01734579228081,3.82198731269284e-06,0.000143973380957195,4.24626017279553
"2300","1448748_at","Plek","56193","pleckstrin",1.53959641738254,4.63811181245188,5.98021625491108,4.17864380871028e-06,0.000154911891559054,4.15749145152008
"11","1415849_s_at","Stmn1","16765","stathmin 1",1.69014759084577,7.39194838624442,5.97433049901782,4.23821677662976e-06,0.000155249916924878,4.14340751633142
"2383","1449818_at","Abcb4","18670","ATP-binding cassette, sub-family B (MDR/TAP), member 4",0.94352893386317,10.6190023713345,5.95038437907782,4.48964185831976e-06,0.00016063520927965,4.0860727106667
"2413","1450355_a_at","Capg","12332","capping protein (actin filament), gelsolin-like",1.78420061613096,4.00427628507219,5.9551833680451,4.43806545746952e-06,0.00016063520927965,4.09756747191199
"55","1416251_at","Mcm6","17219","minichromosome maintenance complex component 6",1.64039375553167,5.66254024379184,5.89604366957002,5.11804895118133e-06,0.000181014214054999,3.95576078791513
"2897","1456307_s_at","Adcy7","11513","adenylate cyclase 7",1.30730065655393,4.29336074195864,5.86341594216959,5.53767479572166e-06,0.000193629833482222,3.87738523408591
"1350","1433443_a_at","Hmgcs1","208715","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1",-1.58618134358022,12.1369264333253,-5.83259276810468,5.96623592042217e-06,0.000206270875585832,3.80325504317412
"1874","1438665_at","Smpd3","58994","sphingomyelin phosphodiesterase 3, neutral",1.54204867294383,3.77571441999599,5.80580575866954,6.36601433424823e-06,0.000217646956738687,3.73876257728582
"342","1418776_at","Gbp8","76074","guanylate-binding protein 8",1.75199873798718,3.5116863731253,5.78766683454509,6.65209648075729e-06,0.000224928581003189,3.69505521185468
"292","1418320_at","Prss8","76560","protease, serine 8 (prostasin)",-1.73108909075826,5.23651059974052,-5.77807691753885,6.80859356642239e-06,0.000227717852216105,3.67193581411363
"1201","1429295_s_at","Trip13","69716","thyroid hormone receptor interactor 13",1.12260383932618,3.68888037318284,5.76342039231113,7.05503655230936e-06,0.000233423091090924,3.63658641700594
"1057","1427943_at","Acyp2","75572","acylphosphatase 2, muscle type",1.07140949250314,6.30480979134281,5.7511003688894,7.26919621027744e-06,0.00023795017807472,3.60685802492503
"1038","1427515_at","Gsap","212167","gamma-secretase activating protein",1.19214494691677,5.06915006899685,5.74367525570282,7.40144663607308e-06,0.000239728961044177,3.58893486189396
"2336","1449193_at","Cd5l","11801","CD5 antigen-like",1.79288751489021,9.7509339181655,5.73740193582314,7.51508648051359e-06,0.000240874178130628,3.57378831580422
"246","1417910_at","Ccna2","12428","cyclin A2",1.23419950635766,4.68643911199935,5.71727341830641,7.89182398426748e-06,0.000245284266662536,3.52516685849238
"2539","1451799_at","Ccdc25","67179","coiled-coil domain containing 25",-1.75333028179788,4.7929434312364,-5.72040848531344,7.83190805729927e-06,0.000245284266662536,3.53274200456968
"2744","1454799_at","Gpat3","231510","glycerol-3-phosphate acyltransferase 3",1.64739017735529,5.46787188262103,5.71826714244576,7.87278215168152e-06,0.000245284266662536,3.52756804602797
"2615","1452475_at","Pcsk5","18552","proprotein convertase subtilisin/kexin type 5",0.967752376586712,5.12332184239314,5.69779477105055,8.2746712166395e-06,0.000254611633335997,3.47808303729129
"133","1416985_at","Sirpa","19261","signal-regulatory protein alpha",1.3352941578576,5.90942162670235,5.69203763130333,8.39139948270659e-06,0.000255646893151368,3.46416087671147
"1365","1433617_s_at","B4galt5","56336","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",1.13949674871568,6.85176313112872,5.67403148502444,8.76739126104862e-06,0.0002644829697083,3.4206001813223
"986","1427052_at","Acacb","100705","acetyl-Coenzyme A carboxylase beta",-1.88508386966062,8.6046480700361,-5.63315315113062,9.6857850346436e-06,0.000289351073316489,3.32161010245782
"2347","1449316_at","Cyp4f15","106648","cytochrome P450, family 4, subfamily f, polypeptide 15",0.927558476779355,9.77313456381099,5.62748643436815,9.82058878969404e-06,0.000290557227941236,3.30787728149407
"2787","1455162_at","Ttc39a","230603","tetratricopeptide repeat domain 39A",1.23818805356388,4.2574571140055,5.60524606139935,1.03683264584104e-05,0.000303841338214561,3.25395548119645
"2249","1448306_at","Nfkbia","18035","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",1.16321134885216,8.1455732037998,5.58722616280233,1.08347983889809e-05,0.000314515798517872,3.21023841395399
"664","1423266_at","Prxl2b","66469","peroxiredoxin like 2B",0.98869271703516,8.16414504323209,5.58283450114059,1.09516759603076e-05,0.000314937447942679,3.19958032287686
"543","1421346_a_at","Slc6a6","21366","solute carrier family 6 (neurotransmitter transporter, taurine), member 6",1.32575105771174,7.92617109250392,5.5776698711246,1.10907632056781e-05,0.000315984059109922,3.18704446643541
"2240","1448182_a_at","Cd24a","12484","CD24a antigen",1.17630562583978,5.4932979828487,5.56820207043244,1.13504102682185e-05,0.000320414792617508,3.16405855565063
"603","1422558_at","Gamt","14431","guanidinoacetate methyltransferase",-0.808577414203755,9.53490389805305,-5.51471843357134,1.29374286354679e-05,0.000360769037978095,3.03408775651889
"727","1424123_at","Flvcr2","217721","feline leukemia virus subgroup C cellular receptor 2",1.23328137812334,5.3991201419259,5.51229602449804,1.30144176846176e-05,0.000360769037978095,3.02819618777742
"2698","1453685_at","Nudt7","67528","nudix (nucleoside diphosphate linked moiety X)-type motif 7",-0.89179805354209,6.6829720160448,-5.48806472145041,1.38105799872455e-05,0.000379421023399593,2.96924034685353
"2416","1450404_at","Slc23a1","20522","solute carrier family 23 (nucleobase transporters), member 1",-1.39009105886257,5.21055202741113,-5.48035336285481,1.40741725699777e-05,0.000383240964582489,2.9504697395066
"1259","1430401_at","3110045C21Rik","67303","RIKEN cDNA 3110045C21 gene",-1.14223448246559,5.52840684362998,-5.45849468285393,1.48494122245424e-05,0.000400803872060676,2.89724044359315
"2462","1450967_at","Hacd4","66775","3-hydroxyacyl-CoA dehydratase 4",1.15087243168458,5.53304247377266,5.44802265012267,1.52360111148827e-05,0.000407662662612992,2.87172805463972
"2260","1448382_at","Ehhadh","74147","enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase",1.04495473284302,10.94934855883,5.42142240068424,1.62645259948271e-05,0.000431430573155887,2.80689106045424
"2537","1451788_at","F11","109821","coagulation factor XI",-0.980129146548959,8.74309849378709,-5.41777584848299,1.64109038281686e-05,0.000431592744267306,2.79799917244389
"716","1423959_at","Ropn1l","252967","ropporin 1-like",-1.11078845133776,7.71197697456634,-5.40755027945275,1.68285317564912e-05,0.000435137749703559,2.77306024384575
"2933","1456918_at","Raph1","77300","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1",0.83546712770642,8.04211734867778,5.40941791565851,1.67514588939824e-05,0.000435137749703559,2.77761567849144
"361","1418940_at","Sult1b1","56362","sulfotransferase family 1B, member 1",-0.880394727515857,7.92769079557661,-5.40230550972594,1.70468971874491e-05,0.000437110855381508,2.76026631559941
"1171","1428988_at","Abcc3","76408","ATP-binding cassette, sub-family C (CFTR/MRP), member 3",1.42352291284133,9.25956209653146,5.35593858086187,1.91066748937999e-05,0.000485878005357209,2.64708633998528
"304","1418405_at","Hgfac","54426","hepatocyte growth factor activator",-0.807101433796173,10.0443512851747,-5.34532521063258,1.96125809406812e-05,0.000494655012741606,2.62116127452981
"585","1422186_s_at","Cyb5r3","109754","cytochrome b5 reductase 3",-0.821196549778563,11.7911733103358,-5.33401034894099,2.01668732690233e-05,0.000502734917959411,2.59351542829561
"2455","1450919_at","Mpp1","17524","membrane protein, palmitoylated",0.869532833351615,8.26602362033439,5.33214606705047,2.02597107009967e-05,0.000502734917959411,2.58895967636351
"525","1421092_at","Serpina12","68054","serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12",-2.0899547099174,10.5822720036181,-5.32173948447325,2.07859419376438e-05,0.000511666746737041,2.56352541506937
"814","1424921_at","Bst2","69550","bone marrow stromal cell antigen 2",1.04314361108485,9.97974113240238,5.31350947414734,2.12118913995831e-05,0.000518007855845375,2.54340646008862
"424","1419582_at","Cyp2c55","72082","cytochrome P450, family 2, subfamily c, polypeptide 55",0.926345340475451,6.73362735361441,5.3063927329542,2.15873397966224e-05,0.000519345172059985,2.52600591976742
"2835","1455621_at","Zfp870","240066","zinc finger protein 870",-1.12044452413054,3.90859680291175,-5.30607573047449,2.16042190522191e-05,0.000519345172059985,2.52523077822134
"1703","1436847_s_at","Cdca8","52276","cell division cycle associated 8",1.24145143899722,4.5934432695895,5.28054464108053,2.3008453106542e-05,0.000548814032626586,2.46278348188248
