"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"429","1419603_at","Ifi204","15951","interferon activated gene 204",-0.9195206753743,4.16245436263445,-5.11977640891904,3.42407663289278e-05,0.0768565529501075,2.27578276148903
"620","1422804_at","Serpinb6b","20708","serine (or cysteine) peptidase inhibitor, clade B, member 6b",-1.01462616887804,5.05727902784249,-4.28599496524087,0.000273815453486674,0.0768565529501075,0.467329479138335
"848","1425314_at","Adgrv1","110789","adhesion G protein-coupled receptor V1",-1.12988706533424,6.31143565413709,-4.56691448306875,0.000135689529135846,0.0768565529501075,1.08006073825163
"1158","1428877_at","Srp72","66661","signal recognition particle 72",0.993127776215594,9.64660002684887,4.48839503254313,0.000165109461911543,0.0768565529501075,0.90895178017018
"1198","1429262_at","Rassf6","73246","Ras association (RalGDS/AF-6) domain family member 6",-0.845040566704194,6.53725792145349,-4.20422604186102,0.000335846728127109,0.0768565529501075,0.288877975770589
"1287","1430981_s_at","Gpbp1","73274","GC-rich promoter binding protein 1",-1.11187220276303,6.92923283901461,-4.30170848756224,0.000263274460407819,0.0768565529501075,0.501626654012889
"1544","1435280_at","Pde4d","238871","phosphodiesterase 4D, cAMP specific",-1.26946157984154,5.20029414788402,-4.48005184528294,0.000168588839086981,0.0768565529501075,0.890760296352695
"1693","1436775_a_at","Ankrd17","81702","ankyrin repeat domain 17",0.873079640615892,7.57320997683631,4.24489494264888,0.000303418314433894,0.0768565529501075,0.377626444883043
"1840","1438242_at","Usp40","227334","ubiquitin specific peptidase 40",0.743864029679027,5.87837323308738,4.24441471705728,0.000303782414048003,0.0768565529501075,0.376578388682116
"2118","1443857_at","Hook3","320191","hook microtubule tethering protein 3",-0.775911216264378,5.13653475529091,-4.18804512247034,0.000349688573708647,0.0768565529501075,0.253573632599847
"2149","1444435_at","Vps13b","666173","vacuolar protein sorting 13B",1.18824913803692,5.48483588914175,4.46682568154382,0.000174255524139205,0.0768565529501075,0.86191860112028
"2457","1450932_s_at","Dock9","105445","dedicator of cytokinesis 9",-0.790090845011293,5.97592853578897,-4.46885785059347,0.000173372618644796,0.0768565529501075,0.866350319313467
"2731","1454699_at","Sesn1","140742","sestrin 1",-0.838979898747007,5.90635453246469,-4.21853173888663,0.000324064062875769,0.0768565529501075,0.320093981829607
"3019","1459894_at","Iqgap2","544963","IQ motif containing GTPase activating protein 2",0.837793022949292,10.1685384823813,4.22108633913795,0.000322003742698246,0.0768565529501075,0.325668566240602
"1009","1427229_at","Hmgcr","15357","3-hydroxy-3-methylglutaryl-Coenzyme A reductase",-1.03215526860782,7.27232094007726,-4.0502914563142,0.000492996865937198,0.0952114100463193,-0.0467419477979352
"1078","1428171_at","Prpf39","328110","pre-mRNA processing factor 39",-1.13645961976538,5.76684430953874,-4.02474839472964,0.000525367716786175,0.0952114100463193,-0.102360937191615
"2532","1451735_at","Arfrp1","76688","ADP-ribosylation factor related protein 1",-0.707416405296985,4.62634134815918,-4.02424234203305,0.00052602988975867,0.0952114100463193,-0.103462576323524
"234","1417852_x_at","Clca3a1","12722","chloride channel accessory 3A1",-1.18710226293919,5.62934171706465,-3.88963993332261,0.000734995357632536,0.102799123428878,-0.396027716493608
"566","1421905_at","Tgs1","116940","trimethylguanosine synthase 1",0.839823970832409,5.00439564066026,3.92674552724074,0.000670326767565218,0.102799123428878,-0.315477254092738
"782","1424658_at","Taok1","216965","TAO kinase 1",-0.804440605016884,4.35901840564522,-3.94170744325731,0.000645872852221271,0.102799123428878,-0.282973798808887
"790","1424706_at","Zfp51","22709","zinc finger protein 51",-0.862123461369205,4.9387011240945,-3.89734904185918,0.000721070862111222,0.102799123428878,-0.379299562560921
"1460","1434449_at","Aqp4","11829","aquaporin 4",-1.3095431853084,4.92823535432833,-3.96846175608523,0.000604326538580377,0.102799123428878,-0.22482131034289
