"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"848","1425314_at","Adgrv1","110789","adhesion G protein-coupled receptor V1",-1.74707586764672,6.31143565413709,-7.06154298758651,3.31912777989205e-07,0.00102129561787278,6.58833809899725
"645","1423130_a_at","Srsf5","20384","serine/arginine-rich splicing factor 5",-1.43152014190553,9.61954908698623,-6.40645311365659,1.51429294931497e-06,0.00232973970252108,5.22818373736678
"423","1419568_at","Mapk1","26413","mitogen-activated protein kinase 1",-1.14582323311404,6.07843992081877,-5.68405045489736,8.55611827352444e-06,0.00877572530921157,3.65828471406434
"356","1418858_at","Aox3","71724","aldehyde oxidase 3",-1.51271580834814,11.3562481160435,-5.3281956199113,2.04578670219356e-05,0.0124709059898873,2.86245508367304
"1486","1434677_at","Hps5","246694","HPS5, biogenesis of lysosomal organelles complex 2 subunit 2",-0.928011029449686,4.46773903505493,-5.3614971048638,1.88470098794201e-05,0.0124709059898873,2.93745350539712
"2116","1443825_x_at","Spaca3","75622","sperm acrosome associated 3",0.805436318924647,4.15745607849902,5.19574254130849,2.83706018619471e-05,0.0124709059898873,2.56321433777926
"2810","1455387_at","Nufip2","68564","nuclear fragile X mental retardation protein interacting protein 2",-1.00481293873757,7.17401767448654,-5.25177555065983,2.47018118201178e-05,0.0124709059898873,2.68998309904641
"185","1417409_at","Jun","16476","jun proto-oncogene",-2.14558334465757,6.96684337720177,-5.06765924404631,3.89641334096087e-05,0.013762216320919,2.27254301772124
"763","1424504_at","Rab22a","19334","RAB22A, member RAS oncogene family",0.958065397212386,5.6917768619194,5.01858858987926,4.40115563004401e-05,0.013762216320919,2.16088085806591
"1396","1433888_at","Atp2b2","11941","ATPase, Ca++ transporting, plasma membrane 2",1.79148198332098,4.36387447459133,4.97375053883856,4.91986933799508e-05,0.013762216320919,2.05871803833844
"2235","1448136_at","Enpp2","18606","ectonucleotide pyrophosphatase/phosphodiesterase 2",-0.850732336395336,8.65743667933777,-5.01032842716169,4.49238834970127e-05,0.013762216320919,2.14206941531683
"381","1419147_at","Rec8","56739","REC8 meiotic recombination protein",0.87036705280358,4.57627227102661,4.79499304125386,7.67811072292168e-05,0.0154664348975733,1.6503418502708
"1429","1434188_at","Slc16a12","240638","solute carrier family 16 (monocarboxylic acid transporters), member 12",-0.849338543778994,7.50944003340393,-4.85849135687725,6.55427315782506e-05,0.0154664348975733,1.79558378815787
"1954","1439795_at","Adgrg2","237175","adhesion G protein-coupled receptor G2",-0.818834577778848,3.244729052653,-4.77640770995502,8.04234508811092e-05,0.0154664348975733,1.60779896404659
"2339","1449248_at","Clcn2","12724","chloride channel, voltage-sensitive 2",-0.88081978205242,6.39411391260343,-4.79310196562705,7.7144011296852e-05,0.0154664348975733,1.64601369571996
"3049","1460318_at","Csrp3","13009","cysteine and glycine-rich protein 3",-0.978591854751556,8.28568639864327,-4.85212476511499,6.65905616790588e-05,0.0154664348975733,1.78102937142898
"485","1420630_at","Fam234b","74525","family with sequence similarity 234, member B",-0.675202052749601,7.04871231345397,-4.61135251188347,0.00012143016766963,0.0219788603482031,1.22947889436062
"2056","1441992_at","Rab14","68365","RAB14, member RAS oncogene family",-1.39341363548393,5.83559487796921,-4.57272455349507,0.00013373378092786,0.0228610468841681,1.1408441885335
"361","1418940_at","Sult1b1","56362","sulfotransferase family 1B, member 1",-0.722404135102765,7.92769079557661,-4.43283872261057,0.000189706315712221,0.0269528114861064,0.819733345869933
"371","1419042_at","Iigp1","60440","interferon inducible GTPase 1",-0.749603700371008,11.148004236201,-4.40877490202476,0.000201467229177916,0.0269528114861064,0.764490452424715
"570","1421977_at","Mmp19","58223","matrix metallopeptidase 19",-0.795801347576542,5.72668284446785,-4.46406019438798,0.000175464260027115,0.0269528114861064,0.891410318388535
"889","1425774_at","Srrm4","68955","serine/arginine repetitive matrix 4",-0.756406771757777,4.32541958464515,-4.41616826716939,0.000197778273882802,0.0269528114861064,0.781462970081321
"2730","1454685_at","Gpr146","80290","G protein-coupled receptor 146",-0.93196602669993,8.08873076766921,-4.46664988980985,0.000174332110467258,0.0269528114861064,0.897355643560485
