"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"236","1417867_at","Cfd","11537","complement factor D (adipsin)",3.09373043130109,4.93919524022389,8.43099628478071,1.66479309386356e-08,5.12256834981818e-05,9.54107627936785
"2810","1455387_at","Nufip2","68564","nuclear fragile X mental retardation protein interacting protein 2",-1.51772481122831,7.17401767448654,-7.93257107761071,4.80661833634384e-08,7.394982310465e-05,8.56311383443993
"2431","1450715_at","Cyp1a2","13077","cytochrome P450, family 1, subfamily a, polypeptide 2",1.45475248246614,12.2976266225066,7.3847381481981,1.60163200831534e-07,0.000164274056319544,7.44427980601248
"3","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",1.49630200785351,9.67228921720794,6.65909175978865,8.38017195004538e-07,0.000419853341027428,5.89339101935568
"661","1423257_at","Cyp4a14","13119","cytochrome P450, family 4, subfamily a, polypeptide 14",5.25956212305738,8.78244592234104,6.66329617074097,8.29860677449031e-07,0.000419853341027428,5.9025940008826
"763","1424504_at","Rab22a","19334","RAB22A, member RAS oncogene family",1.26052448546118,5.6917768619194,6.60294570538232,9.55142472275593e-07,0.000419853341027428,5.77026034310951
"2708","1454067_a_at","4931406C07Rik","70984","RIKEN cDNA 4931406C07 gene",1.23559615003494,9.7221492218414,6.653586731958,8.48821021417459e-07,0.000419853341027428,5.88133744267277
"239","1417877_at","Eepd1","67484","endonuclease/exonuclease/phosphatase family domain containing 1",1.06247440166073,6.5480169468114,6.542762865584,1.09939584187706e-06,0.000422855125681963,5.63779845682181
"640","1423078_a_at","Msmo1","66234","methylsterol monoxygenase 1",1.25696846339527,9.9152830632283,6.38503978985062,1.59272853132776e-06,0.000531562266967812,5.2883467056239
"1528","1435097_at","Mmab","77697","methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)",1.12697603193082,5.06613548151628,6.35063689543606,1.72753417929091e-06,0.000531562266967812,5.21168864863447
"637","1422964_at","Rad23a","19358","RAD23 homolog A, nucleotide excision repair protein",1.03987142122606,6.79064707252591,6.11980409628107,2.99021811237866e-06,0.000836445557435377,4.69345338604431
"711","1423891_at","Gstt3","103140","glutathione S-transferase, theta 3",1.26419879244044,8.69284431597234,6.0609788389937,3.44221473525474e-06,0.000882641228364902,4.56034039731992
"237","1417871_at","Hsd17b7","15490","hydroxysteroid (17-beta) dehydrogenase 7",1.35795545124161,7.23193898636716,5.99484852511403,4.0342095633178e-06,0.000954866371256067,4.41020968057881
"26","1416022_at","Fabp5","16592","fatty acid binding protein 5, epidermal",-2.95719670610151,8.60190519340925,-5.8774754423932,5.352723240604e-06,0.00112618260303542,4.14251494424746
"2026","1441098_at","Pnldc1","240023","poly(A)-specific ribonuclease (PARN)-like domain containing 1",1.3384423841062,5.14217353429956,5.86699360638739,5.49000293972418e-06,0.00112618260303542,4.11853428182172
"1776","1437594_x_at","Pigt","78928","phosphatidylinositol glycan anchor biosynthesis, class T",-1.03159059310606,5.96373197466387,-5.79101840552625,6.59826892736183e-06,0.00126892959309327,3.94436161014083
"879","1425645_s_at","Cyp2b10","13088","cytochrome P450, family 2, subfamily b, polypeptide 10",1.64893558122914,4.58217646838211,5.69978841331951,8.23463493752894e-06,0.00138134035578091,3.73441861088931
"2268","1448451_at","Ak2","11637","adenylate kinase 2",0.819089766526057,9.46592499882132,5.68532747638035,8.52956345786069e-06,0.00138134035578091,3.70106289582311
"2744","1454799_at","Gpat3","231510","glycerol-3-phosphate acyltransferase 3",1.6458697338507,5.46787188262103,5.71298952075434,7.97444956935553e-06,0.00138134035578091,3.7648501489547
"516","1420989_at","Cfap97","66756","cilia and flagella associated protein 97",1.20838266862266,5.64928344560003,5.57838578126553,1.10713767236556e-05,0.00141314870706616,3.45375889619652
"826","1425028_a_at","Tpm2","22004","tropomyosin 2, beta",1.36808518464985,6.17922114082511,5.60760598594751,1.03087645278125e-05,0.00141314870706616,3.52143932749608
