"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"2610305J24Rik",4.21425333315121,3.98730885110529,3.88350679377718,4.34806376629742,5.66593887294284,4.28452491272426,3.44410394230981,3.87778494529435,5.75728041443638,6.55218503851106,6.19000312511957,4.38724400384463,4.04322908747564,3.66612459218618,4.22480120851784,4.0657632465855,3.65437666510729,3.98985442131192,3.51051667645002,3.92257325659429,5.39219159104738,4.52248949699978,4.22150506959131,4.39205158242008,3.89755408880165,4.21293091042555
"Mup10",9.47038440208914,9.95747427726562,9.49424157069238,10.6659886238306,10.1667857825951,10.1136780020893,9.89818841186056,9.89403126785995,8.2618387896422,7.51368740558803,8.15583370569056,9.76511753173834,9.34465971537546,9.33211568657316,9.6364626266461,9.75425087977034,10.8056234146056,7.57697131666734,6.78949593907461,7.30113901979022,10.0002111586045,10.3136350411502,9.04614594950885,10.2781991173899,9.56391193811033,10.03389024203
"Tcf24",3.04250372901211,2.90122024107258,2.99040174104955,3.16226061075607,2.78298403439665,3.3255081680097,3.1723176519252,3.43812248649163,3.19969429991457,3.3339088011079,3.18545707673696,4.15951152537463,4.96667584491032,4.79929455065164,3.31965037008649,4.2507900752173,2.77812305277465,3.89182618493551,5.07097920412786,4.36179800578465,3.42844083152253,2.89042978750548,5.42362262772979,2.99669506888652,3.22687718505981,3.21150607030275
"Ildr2",6.53166522361199,6.33577933672066,6.09795515103017,7.62316262560965,7.92957641075053,7.01215829108277,7.67550243443097,7.09620827741204,8.81391532730045,9.73240806094662,8.84728369283719,8.71409391041931,8.38834682821221,8.15464344023739,7.63047073082828,7.28362477597329,7.07669522024549,10.1924088641707,9.81467352526167,10.0774930191839,5.91275436892923,6.46003779487882,7.03881096789311,7.94288981246981,7.78040252171382,8.2092591304342
"Gm4354",7.70723479665334,8.29208156626752,7.94052238478137,9.17622024767969,8.5951085090492,8.37736022915761,7.48450642573218,8.1352811342085,9.48821586589763,10.1401210416522,9.52109761434692,8.91755476244628,9.97666906260729,9.35860605937153,8.76346342213291,8.70812799328212,8.70940228174507,9.90397880587999,9.54073699571538,10.2696132394684,8.7107004030141,8.5591659534725,8.87464057351598,8.59500242517018,9.03927267015402,8.60640539850516
"Pcsk9",7.26659572317689,7.06776339285125,7.26879080085783,4.99688495174949,5.21413436511162,7.02570095338521,6.99139108863189,7.33954465878638,5.47564375681942,6.0013384281943,5.81909650093383,6.87962314369804,6.94047704981966,7.19911731686288,6.9161084126691,7.09090081664061,6.72607329028785,6.16240065851879,7.73474887971215,7.32034837343493,7.27451262076017,7.53843731875974,7.76977210876673,7.20110420852052,7.32623263608614,7.23812008298369
"Slc44a1",9.606527741427,9.48449443891608,9.58046855086527,9.28859163729412,9.29015151156819,9.33233904458125,9.47069114499856,9.81680569159146,9.30360875585715,9.29030974155985,9.4244042687806,9.32269926934863,9.27888696113003,9.4030036868523,9.19280067874987,9.3010349454607,9.10952901451112,8.05408900500242,8.61470182474227,8.5219378367047,9.36262826860539,9.90218212255198,9.77936561856417,8.93167677862599,8.67860491740729,8.9405992354598
"Gm16551",5.36709110557372,6.21906727285351,6.54596553980936,6.08644713817221,4.44292757485872,5.8274145349281,6.32898014621881,6.21523253161929,5.39076039462133,4.21633090651064,4.19748363305947,5.61641301362949,5.7107542334034,6.15534452059083,5.56869093970876,5.69390562476822,6.72511440901951,4.13223355483809,3.93317822816155,4.07983408794111,6.05231722903746,6.64137473758802,6.31248991221997,5.44342672552703,4.68338694258317,4.81320285257195
"Gm19696",7.34641257471374,7.22526873691024,7.40807830359114,7.4685134788209,7.07956592277113,7.32822882053342,7.24496647017013,7.36231018583937,7.59570923869193,7.41070450747487,7.72835408959617,7.51070365854791,7.09689602313257,7.15395127653738,6.85819942951094,6.96180402920771,6.91376264607942,5.76579523598983,5.63651959236277,5.93851696332754,7.59344483587987,7.68528101378021,7.65781517952302,7.60985980567711,7.36517867358017,7.43204005789256
"Gm19966",5.67659714392692,5.7380282623977,5.90712693600659,5.31379047202685,5.07157376424266,6.00635090740413,6.53157768996113,6.11899787858146,5.59587833288957,5.53254180685055,5.87251645293712,5.49716585464569,5.74424923442234,6.25622404722478,6.02360601388135,6.46561582531912,6.78634131884556,4.97628872197183,4.05023662938015,4.38791428418632,5.63306301525335,5.9130633903888,6.49999491212665,5.83331965914173,4.96760166435359,4.90264093064835
