"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"1436530_at",8.30512784773594,8.80732939788641,8.70094314646117,7.50867763347097,8.28610089288873,8.69056526021387,8.5936912100594,8.89535605780048,9.30754211404676,9.26742907268518,9.05126647809136,7.90861090859785,8.11776225206954,8.08443180485177,8.31972843001412,8.72240155541865,7.84763954717691,7.6678997019917,9.05337704214918,7.90813899417733,8.17577111164415,8.95549917477525,8.39889995134173,8.69162426866974,8.17586562020917,8.47552029638055
"1428670_at",4.21425333315121,3.98730885110529,3.88350679377718,4.34806376629742,5.66593887294284,4.28452491272426,3.44410394230981,3.87778494529435,5.75728041443638,6.55218503851106,6.19000312511957,4.38724400384463,4.04322908747564,3.66612459218618,4.22480120851784,4.0657632465855,3.65437666510729,3.98985442131192,3.51051667645002,3.92257325659429,5.39219159104738,4.52248949699978,4.22150506959131,4.39205158242008,3.89755408880165,4.21293091042555
"1449372_at",10.2966364545111,10.4366353643926,10.516204867543,10.9035460820073,11.0945551057752,10.9655130794418,10.0013032170188,10.9384583016656,11.0399506205688,10.9762395435292,10.9215662462758,10.7441002124647,11.477940840818,10.7083943786933,10.8679781790709,10.9937133126553,10.9372532535889,10.8683325813656,11.12287475895,11.4339116650928,11.0694039778805,11.0247571200623,10.767278817082,10.38591400041,10.3921412555059,10.3336243716683
"1430893_at",9.47038440208914,9.95747427726562,9.49424157069238,10.6659886238306,10.1667857825951,10.1136780020893,9.89818841186056,9.89403126785995,8.2618387896422,7.51368740558803,8.15583370569056,9.76511753173834,9.34465971537546,9.33211568657316,9.6364626266461,9.75425087977034,10.8056234146056,7.57697131666734,6.78949593907461,7.30113901979022,10.0002111586045,10.3136350411502,9.04614594950885,10.2781991173899,9.56391193811033,10.03389024203
"1439816_at",3.04250372901211,2.90122024107258,2.99040174104955,3.16226061075607,2.78298403439665,3.3255081680097,3.1723176519252,3.43812248649163,3.19969429991457,3.3339088011079,3.18545707673696,4.15951152537463,4.96667584491032,4.79929455065164,3.31965037008649,4.2507900752173,2.77812305277465,3.89182618493551,5.07097920412786,4.36179800578465,3.42844083152253,2.89042978750548,5.42362262772979,2.99669506888652,3.22687718505981,3.21150607030275
"1436293_x_at",6.53166522361199,6.33577933672066,6.09795515103017,7.62316262560965,7.92957641075053,7.01215829108277,7.67550243443097,7.09620827741204,8.81391532730045,9.73240806094662,8.84728369283719,8.71409391041931,8.38834682821221,8.15464344023739,7.63047073082828,7.28362477597329,7.07669522024549,10.1924088641707,9.81467352526167,10.0774930191839,5.91275436892923,6.46003779487882,7.03881096789311,7.94288981246981,7.78040252171382,8.2092591304342
"1440573_at",5.99469907527557,5.69035197609886,6.14427771430619,5.75478388905394,5.21423927500776,5.95095581265749,5.91275631567778,5.51810557825588,5.99291418898498,6.41235605258795,6.55983126835268,5.87186603137219,5.92287075446213,6.20975538411995,6.14645519944406,5.67340741632289,6.62983616715371,6.23774662558801,6.44941726716038,6.81473564295491,6.18148404072407,5.80896686299831,5.99587807975238,6.19516415680566,5.70219507433825,5.63801698168012
"1446731_at",4.05183733202636,4.5204831996224,3.83699247278162,4.66730933032302,4.15300819934934,4.66335163281529,4.27322091263913,3.96756465521714,4.14298625966441,4.5646312585331,4.69853467977512,4.54591480991923,4.48367962881258,4.8207864431332,3.83293597528405,4.81831399138835,4.8236507382941,4.16930249301253,4.28660126586827,4.70959966512458,4.44709684354234,4.31229557393389,4.56197927617684,3.6558416127492,4.2005145306989,4.03552657594519
"1438972_x_at",6.10075832309283,6.10075832309283,6.05454265954802,6.40548905577477,6.11104241334237,5.97793183552494,6.20281457385591,5.22350975546596,5.73410067557824,6.78483321873699,6.68072161883639,5.84553791960481,5.25279135086433,5.71200895450361,5.442671959787,5.94872411891268,5.97159868042487,6.56812565333904,6.08995379917793,6.31055302297952,6.68266895099331,6.33686170903555,6.0215910661989,5.76925305290022,5.64362138094624,5.67340741632289
"1428562_at",7.88644884915541,8.00735998405263,7.32066587795645,8.75185018681206,8.12682203850375,8.6218424403009,7.78806489330207,8.2168850834432,8.33620191618738,8.4451576721504,9.0863298931574,8.64994249767809,8.18481048883039,8.41344844830491,7.78605415843565,7.88873704099615,7.92744095265923,8.61221465001562,9.07566024426535,8.98375625667581,8.29839512690222,8.17652606039891,8.32176816213949,8.03462039778706,7.56221366035141,8.20530398261712
