"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-191273","Cholesterol biosynthesis","17/591","25/8772",6.34191444216176e-15,5.49209790691208e-12,5.28047823552626e-12,"Cyp51/Msmo1/Idi1/Sqle/Fdps/Nsdhl/Tm7sf2/Dhcr7/Fdft1/Pmvk/Mvd/Hmgcr/Lss/Hmgcs1/Sc5d/Hsd17b7/Ebp",17
"R-MMU-8957322","Metabolism of steroids","34/591","125/8772",8.27128987466066e-13,3.58146851572806e-10,3.44346857413504e-10,"Cyp8b1/Cyp51/Msmo1/Idi1/Sqle/Fdps/Nsdhl/Tm7sf2/Dhcr7/Fdft1/Pmvk/Mvd/Hmgcr/Cyp17a1/Lss/Slc10a1/Hmgcs1/Abcc3/Hsd3b5/Sc5d/Cyp7a1/Srd5a1/Hsd17b7/Stard4/Akr1d1/Cyp7b1/Srebf1/Ebp/Hsd17b11/Cyp39a1/Scp2/Slco1b2/Acox2/Osbpl9",34
"R-MMU-211859","Biological oxidations","39/591","202/8772",1.44144484835152e-09,3.32728021526325e-07,3.19907457186487e-07,"Cyp8b1/Cyp51/Ephx1/Cyp3a25/Acss2/Cyp26a1/Cyp4f15/Sult1b1/Cyb5r3/Cyp2c55/Cyp3a11/Gclm/Aldh2/Paox/Cyp7a1/Gss/Ugdh/Ptgs1/Cyp7b1/Cyb5b/Hsp90ab1/Cmbl/Cyp4a14/Cyp3a44/Gstt2/Gstm4/Cyp3a13/Cyp39a1/Chac1/Cyp2a12/Ces1d/Ugt2b35/Cyp26b1/Mgst3/Acsm5/Gsto1/Maoa/Cyp2u1/Gclc",39
"R-MMU-211945","Phase I - Functionalization of compounds","27/591","108/8772",1.53684998395531e-09,3.32728021526325e-07,3.19907457186487e-07,"Cyp8b1/Cyp51/Ephx1/Cyp3a25/Acss2/Cyp26a1/Cyp4f15/Cyb5r3/Cyp2c55/Cyp3a11/Aldh2/Paox/Cyp7a1/Ptgs1/Cyp7b1/Cyb5b/Hsp90ab1/Cmbl/Cyp4a14/Cyp3a44/Cyp3a13/Cyp39a1/Cyp2a12/Ces1d/Cyp26b1/Maoa/Cyp2u1",27
"R-MMU-8978868","Fatty acid metabolism","31/591","169/8772",2.42814323585304e-07,4.20554408449747e-05,4.04349747275738e-05,"Cyp8b1/Ptgds/Cbr1/Acacb/Cyp4f15/Nudt7/Hacd4/Ehhadh/Acsl5/Thrsp/Ptgs1/Acot9/Acly/Elovl5/Scd2/Abcc1/Tecr/Cyp4a14/Fads2/Fads1/Aldh3a2/Elovl3/Scp2/Elovl2/Acox2/Crot/Elovl6/Elovl1/Cyp2u1/Acadm/Alox5ap",31
"R-MMU-2046104","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism","7/591","14/8772",1.37536106268999e-05,0.00156745082693501,0.00150705433828321,"Elovl5/Fads2/Fads1/Elovl3/Scp2/Elovl2/Elovl1",7
"R-MMU-2046106","alpha-linolenic acid (ALA) metabolism","7/591","14/8772",1.37536106268999e-05,0.00156745082693501,0.00150705433828321,"Elovl5/Fads2/Fads1/Elovl3/Scp2/Elovl2/Elovl1",7
"R-MMU-211897","Cytochrome P450 - arranged by substrate type","16/591","71/8772",1.44799152603696e-05,0.00156745082693501,0.00150705433828321,"Cyp8b1/Cyp51/Cyp3a25/Cyp26a1/Cyp4f15/Cyp2c55/Cyp3a11/Cyp7a1/Cyp7b1/Cyp4a14/Cyp3a44/Cyp3a13/Cyp39a1/Cyp2a12/Cyp26b1/Cyp2u1",16
"R-MMU-75105","Fatty acyl-CoA biosynthesis","10/591","33/8772",4.00450622341603e-05,0.0038532248771981,0.00370475371078606,"Hacd4/Acsl5/Acly/Elovl5/Scd2/Tecr/Elovl3/Elovl2/Elovl6/Elovl1",10
"R-MMU-75876","Synthesis of very long-chain fatty acyl-CoAs","8/591","22/8772",5.5547367497383e-05,0.00481040202527337,0.00462504923057157,"Hacd4/Acsl5/Elovl5/Tecr/Elovl3/Elovl2/Elovl6/Elovl1",8
"R-MMU-196854","Metabolism of vitamins and cofactors","27/591","182/8772",8.05999279387795e-05,0.00634541250863483,0.00610091320570092,"Cyp8b1/Rdh11/Lpl/Acacb/Slc23a1/Cyb5r3/Apoc2/Folr2/Aox1/Shmt1/Hsp90aa1/Mmab/Abcc1/Slc2a1/Nmrk1/Parp4/Sdc3/Aasdhppt/Apom/Ttpa/Bco2/Gsto1/Apoa4/Slc19a2/Rbp1/Lrp2/Vnn1",27
"R-MMU-194068","Bile acid and bile salt metabolism","11/591","44/8772",0.000117157566497518,0.00845487104890423,0.00812909079820499,"Cyp8b1/Slc10a1/Abcc3/Cyp7a1/Akr1d1/Cyp7b1/Cyp39a1/Scp2/Slco1b2/Acox2/Osbpl9",11
"R-MMU-8979227","Triglyceride metabolism","7/591","23/8772",0.000575483716091308,0.0383360690873133,0.0368589165528927,"Fabp5/Fabp2/Fabp7/Gpam/Pnpla5/Lpin2/Lpin1",7
"R-MMU-156590","Glutathione conjugation","8/591","31/8772",0.000797909343224634,0.0493563922308952,0.0474546083075703,"Gclm/Gss/Gstt2/Gstm4/Chac1/Mgst3/Gsto1/Gclc",8
