"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"424","1419582_at","Cyp2c55","72082","cytochrome P450, family 2, subfamily c, polypeptide 55",2.29958534124507,6.73362735361441,13.1727363548111,3.15039754228282e-12,9.69377323760425e-09,17.4343873412093
"879","1425645_s_at","Cyp2b10","13088","cytochrome P450, family 2, subfamily b, polypeptide 10",3.22988474392459,4.58217646838211,11.1645717694174,8.72512742439392e-11,1.342360854243e-07,14.4904811205498
"848","1425314_at","Adgrv1","110789","adhesion G protein-coupled receptor V1",-2.51122025690265,6.31143565413709,-10.150154394441,5.50605911516185e-10,5.64738129911767e-07,12.8116716539909
"588","1422438_at","Ephx1","13849","epoxide hydrolase 1, microsomal",1.49616180422248,11.0527412417696,8.21254376482813,2.63883210817837e-08,1.35328106614414e-05,9.20256437553736
"2355","1449375_at","Ces2a","102022","carboxylesterase 2A",1.39740676773877,10.9954649878365,8.21772599735167,2.60996154485715e-08,1.35328106614414e-05,9.21295537167135
"2815","1455454_at","Akr1c19","432720","aldo-keto reductase family 1, member C19",1.5549581676786,9.29762579226743,8.28451333713233,2.26568716758346e-08,1.35328106614414e-05,9.34651238619823
"67","1416368_at","Gsta4","14860","glutathione S-transferase, alpha 4",1.85207900705952,9.38627805531191,8.03126857968361,3.88609611251138e-08,1.7082168197425e-05,8.83655779666419
"821","1424973_at","Cyp3a25","56388","cytochrome P450, family 3, subfamily a, polypeptide 25",1.21222627311115,12.2167982106643,7.43374957594854,1.43579528561775e-07,5.52242761730726e-05,7.59547701255426
"2544","1451814_a_at","Htatip2","53415","HIV-1 Tat interactive protein 2",0.93626836972892,8.8040048680513,7.02700543482616,3.59079871576324e-07,0.000122765418315595,6.72073814888458
"520","1421040_a_at","Gsta2","14858","glutathione S-transferase, alpha 2 (Yc2)",2.68252340280828,10.1051479490299,6.9022480592239,4.77710244672772e-07,0.000146991442285812,6.44772101874205
"2431","1450715_at","Cyp1a2","13077","cytochrome P450, family 1, subfamily a, polypeptide 2",1.33905781775821,12.2976266225066,6.7974390617148,6.08107234276512e-07,0.000170104178169893,6.21669020931363
"846","1425303_at","Gck","103988","glucokinase",-1.52909690649398,8.6142493733433,-6.56204632962669,1.05089769831718e-06,0.000269467684810163,5.69239308462565
"1171","1428988_at","Abcc3","76408","ATP-binding cassette, sub-family C (CFTR/MRP), member 3",1.70657431116615,9.25956209653146,6.42090626840608,1.46359198546598e-06,0.000346420964559909,5.37453767504915
"215","1417761_at","Apoa4","11808","apolipoprotein A-IV",-2.02914079628956,10.9169121042065,-6.22072316342251,2.35075436001137e-06,0.000482218077716998,4.91942165801531
"1061","1427981_a_at","Csad","246277","cysteine sulfinic acid decarboxylase",2.11218806316292,9.22457053555745,6.22299826458749,2.33806848978926e-06,0.000482218077716998,4.92462152195083
"26","1416022_at","Fabp5","16592","fatty acid binding protein 5, epidermal",-3.10957315565467,8.60190519340925,-6.18032605709865,2.58807464525534e-06,0.000497719105215668,4.82698948657295
"905","1426064_at","Cyp3a44","337924","cytochrome P450, family 3, subfamily a, polypeptide 44",1.0212102133583,3.48006800570906,6.0904340679107,3.20778816333614e-06,0.000580609657563842,4.6206227963938
"904","1426037_a_at","Rgs16","19734","regulator of G-protein signaling 16",-4.59381234263893,7.41814028685113,-5.94512812156851,4.54683320980499e-06,0.000777255877031663,4.28510590493035
"405","1419435_at","Aox1","11761","aldehyde oxidase 1",1.10877719843867,9.61487267354933,5.79723371097768,6.49961769102543e-06,0.00105259598080449,3.94128346592675
"62","1416308_at","Ugdh","22235","UDP-glucose dehydrogenase",1.15637992013101,10.1936242450958,5.75453300296807,7.20887095980564e-06,0.0011090847971661,3.84159927652891
"177","1417382_at","Entpd5","12499","ectonucleoside triphosphate diphosphohydrolase 5",0.972297609743666,9.87189419501362,5.6588336491815,9.0980345052574e-06,0.00133307867488938,3.61755062185487
"414","1419491_at","Defb1","13214","defensin beta 1",-1.78109689910135,6.34025643884132,-5.56222520306243,1.15174885534398e-05,0.00161087783086065,3.39051861531882
"109","1416809_at","Cyp3a11","13112","cytochrome P450, family 3, subfamily a, polypeptide 11",1.15334537774817,13.8261823297539,5.47883859991394,1.41265471259947e-05,0.0018494877813377,3.19391032556462
