"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"479","1420531_at","Hsd3b5","15496","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5",-8.32976342256858,11.2138719001984,-27.7358746544954,3.07561080346922e-19,9.46365444227477e-16,33.4724033700346
"495","1420722_at","Elovl3","12686","elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3",-7.00204678519127,11.4679657168498,-23.6212245640722,1.11192348267172e-17,1.71069427809044e-14,30.2261080081892
"879","1425645_s_at","Cyp2b10","13088","cytochrome P450, family 2, subfamily b, polypeptide 10",6.51622803124396,4.58217646838211,22.5243007997599,3.1919985536865e-17,3.27392651656445e-14,29.2485694998968
"444","1419759_at","Abcb1a","18671","ATP-binding cassette, sub-family B (MDR/TAP), member 1A",3.35009464066296,4.76596066790846,19.3275499170968,9.22828605478614e-16,7.09885904764424e-13,26.0712993846184
"634","1422925_s_at","Acot3","171281","acyl-CoA thioesterase 3",5.08868886551331,6.17302662051324,18.9630307738905,1.39722203377926e-15,8.59850439587758e-13,25.6740593107475
"2386","1449844_at","Slco1a1","28248","solute carrier organic anion transporter family, member 1a1",-4.74458138486294,8.95022569873606,-17.9870531197904,4.39614645422712e-15,2.25449043994281e-12,24.5708285487892
"426","1419590_at","Cyp2b9","13094","cytochrome P450, family 2, subfamily b, polypeptide 9",7.37736162571802,4.63687275928703,14.8585051310995,2.5877553431642e-13,1.13750331298803e-10,20.5922801347388
"2364","1449479_at","Cyp2b13","13089","cytochrome P450, family 2, subfamily b, polypeptide 13",3.36110525691626,4.39000353194969,14.6963957123366,3.25738452889012e-13,1.25287152442436e-10,20.3653743790828
"126","1416933_at","Por","18984","P450 (cytochrome) oxidoreductase",3.58788366737847,8.69190357758904,14.5382839509438,4.0852592237052e-13,1.39670473681565e-10,20.1418885081997
"1965","1439934_at","Slc30a10","226781","solute carrier family 30, member 10",-2.41873453083421,7.84786393411563,-14.3536313200029,5.33560966409748e-13,1.6417670936428e-10,19.8781269149685
