"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215","1417761_at","Apoa4","11808","apolipoprotein A-IV",2.42902002617692,10.9169121042065,7.44663020372279,1.39521076568485e-07,0.000216372197135226,7.46209199530105
"1956","1439804_at","2310015A10Rik","69548","RIKEN cDNA 2310015A10 gene",1.34143440885019,4.5833138753343,7.44304603671619,1.40638412177592e-07,0.000216372197135226,7.45487953705425
"848","1425314_at","Adgrv1","110789","adhesion G protein-coupled receptor V1",-1.76406336729859,6.31143565413709,-7.13020512256572,2.83986257929495e-07,0.000291275238549685,6.81763463651111
"2133","1444021_at","Sqstm1","18412","sequestosome 1",1.22079967621049,4.67130482289936,6.53750334848035,1.11301650488527e-06,0.000817471832706194,5.56961196211233
"2904","1456377_x_at","Limd2","67803","LIM domain containing 2",-1.13371473130532,8.65266930864107,-6.46211004560162,1.32835851918459e-06,0.000817471832706194,5.4071929362201
"1342","1432650_at","2510019K15Rik","67142","RIKEN cDNA 2510019K15 gene",1.53604150238271,7.157575249649,5.87861077723619,5.33806500999362e-06,0.00273753767262506,4.12446806286859
"2730","1454685_at","Gpr146","80290","G protein-coupled receptor 146",-1.193146096999,8.08873076766921,-5.71841218457156,7.87000674769018e-06,0.00345943010894896,3.76497819269868
"2977","1458049_at","Hgd","15233","homogentisate 1, 2-dioxygenase",1.25314219250833,6.20469879481497,5.61178797144614,1.02040673773604e-05,0.00392473941501724,3.5241565098273
"2903","1456354_at","Chrna4","11438","cholinergic receptor, nicotinic, alpha polypeptide 4",1.55400992644756,4.22687761110364,5.49926553362507,1.34365959913783e-05,0.00459382287394122,3.26875652345677
"449","1419874_x_at","Zbtb16","235320","zinc finger and BTB domain containing 16",-2.23746656431783,6.6369073105086,-5.27727549497136,2.31948079626541e-05,0.00648822037282605,2.76146162357269
